SNo,Name,Symbol,Month,Day,Year,High,Low,Open,Close,Volume,Marketcap
2603,XRP,XRP,9,19,2020,0.254100785,0.248359323,0.250530412,0.251715996,1043485055,11337877219
2604,XRP,XRP,9,20,2020,0.251663327,0.243715757,0.251663327,0.246743317,1091283585,11113896108
2605,XRP,XRP,9,21,2020,0.248110178,0.230479274,0.246817588,0.232137581,1718957623,10468793071
2606,XRP,XRP,9,22,2020,0.234742775,0.230237414,0.231847976,0.233416984,1019583831,10526490795
2607,XRP,XRP,9,23,2020,0.23504059,0.22112977,0.2332865,0.22122139,1646803535,9976501615
2608,XRP,XRP,9,24,2020,0.23368698,0.22033149,0.22167549,0.23290488,1937069766,10503396316
2609,XRP,XRP,9,25,2020,0.24432869,0.23032155,0.23292827,0.24192164,1770527280,10910028142
2610,XRP,XRP,9,26,2020,0.24555311,0.2387019,0.24185173,0.24215973,1589059311,10920765623
2611,XRP,XRP,9,27,2020,0.24435854,0.238526,0.24179152,0.24275486,1388129507,10947604292
2612,XRP,XRP,9,28,2020,0.24768715,0.24159261,0.24333434,0.24186223,1722817156,10916733255
2613,XRP,XRP,9,29,2020,0.24655182,0.2390381,0.24126917,0.24317734,1630882291,10976092169
2614,XRP,XRP,9,30,2020,0.24306964,0.23885358,0.24306964,0.24178404,1571088310,10913203939
2615,XRP,XRP,10,1,2020,0.24464494,0.23494209,0.24196869,0.23824885,1725071846,10759891553
2616,XRP,XRP,10,2,2020,0.23930603,0.22982348,0.23829741,0.2341174,1849001296,10573305365
2617,XRP,XRP,10,3,2020,0.23497192,0.23293823,0.23416062,0.23293823,1261839176,10520051302
2618,XRP,XRP,10,4,2020,0.25013849,0.23221023,0.23307175,0.24768521,1885456462,11186060598
2619,XRP,XRP,10,5,2020,0.25369054,0.24709077,0.24818981,0.25081649,2159900755,11327476373
2620,XRP,XRP,10,6,2020,0.25877673,0.24235728,0.2508337,0.24534051,3068832281,11080168289
2621,XRP,XRP,10,7,2020,0.25121146,0.24171426,0.24543485,0.24853854,1894313447,11224598914
2622,XRP,XRP,10,8,2020,0.2528206,0.24291395,0.24888669,0.25145445,1984994731,11356288256
2623,XRP,XRP,10,9,2020,0.25667836,0.24997959,0.25144932,0.25349053,2104833281,11448242391
2624,XRP,XRP,10,10,2020,0.25977263,0.25314371,0.25322653,0.25429026,1957706164,11484360137
2625,XRP,XRP,10,11,2020,0.25818861,0.25382321,0.25420139,0.25571862,1851962086,11548868315
2626,XRP,XRP,10,12,2020,0.25821906,0.25017239,0.2556678,0.25644633,2117892928,11581733743
2627,XRP,XRP,10,13,2020,0.26004908,0.25333534,0.25635078,0.25632299,2098212018,11595093665
2628,XRP,XRP,10,14,2020,0.25839285,0.24668282,0.25672719,0.24944771,1954936434,11284082017
2629,XRP,XRP,10,15,2020,0.25027764,0.24401082,0.24940622,0.2459395,1652788747,11125383615
2630,XRP,XRP,10,16,2020,0.24758985,0.23849985,0.24605756,0.24044322,1656312547,10879589587
2631,XRP,XRP,10,17,2020,0.24271877,0.23921785,0.24054073,0.2409306,1173505925,10901642739
2632,XRP,XRP,10,18,2020,0.24341929,0.24057138,0.24085042,0.24222456,1238720802,10960191725
2633,XRP,XRP,10,19,2020,0.24947083,0.24049732,0.24230839,0.24596448,1435700560,11129415716
2634,XRP,XRP,10,20,2020,0.24939978,0.24256241,0.2459274,0.24357286,1526376279,11021199803
2635,XRP,XRP,10,21,2020,0.25522671,0.24317919,0.24348472,0.25161491,2306399543,11385086697
2636,XRP,XRP,10,22,2020,0.26346338,0.25123294,0.25133462,0.25680737,2827483708,11620035569
2637,XRP,XRP,10,23,2020,0.25930646,0.25071262,0.25732575,0.25487888,2125734863,11532775250
2638,XRP,XRP,10,24,2020,0.25764521,0.25283161,0.2548791,0.25643078,1590424952,11602995674
2639,XRP,XRP,10,25,2020,0.25714735,0.25174548,0.25643078,0.25321315,1484930709,11457404250
2640,XRP,XRP,10,26,2020,0.25840803,0.24408163,0.25321329,0.24868771,2390566065,11257120780
2641,XRP,XRP,10,27,2020,0.25387406,0.24809682,0.2486875,0.25289944,2273574015,11447769074
2642,XRP,XRP,10,28,2020,0.25639322,0.24460834,0.25289963,0.24586472,2375598739,11129335088
2643,XRP,XRP,10,29,2020,0.24699602,0.2403119,0.24586518,0.24229485,5451698743,10967740784
2644,XRP,XRP,10,30,2020,0.24400047,0.23282761,0.2422916,0.23918382,2364402263,10831358981
2645,XRP,XRP,10,31,2020,0.24321929,0.23774878,0.23918774,0.2397442,2100764094,10856735912
2646,XRP,XRP,11,1,2020,0.24131954,0.23709372,0.23973905,0.23979745,1855741696,10859147268
2647,XRP,XRP,11,2,2020,0.24425851,0.23376856,0.23980368,0.23542055,2412875798,10660940810
2648,XRP,XRP,11,3,2020,0.24212752,0.22877157,0.23542004,0.23951003,3052524907,10846131389
2649,XRP,XRP,11,4,2020,0.24039029,0.23338803,0.2395104,0.23779264,3335786074,10768360115
2650,XRP,XRP,11,5,2020,0.24704647,0.23755798,0.23779864,0.24577641,2949508995,11129902603
2651,XRP,XRP,11,6,2020,0.26080451,0.24530654,0.2457695,0.25844464,3282591092,11710770062
2652,XRP,XRP,11,7,2020,0.2664165,0.24558496,0.25844465,0.24958223,3395345984,11309192154
2653,XRP,XRP,11,8,2020,0.25673497,0.24791322,0.24958216,0.2539387,2364742336,11506594737
2654,XRP,XRP,11,9,2020,0.25607033,0.24611493,0.25393858,0.25074766,3079413903,11362000767
2655,XRP,XRP,11,10,2020,0.26429699,0.24872395,0.25075275,0.25391118,3488798458,11505347387
2656,XRP,XRP,11,11,2020,0.25972446,0.25284233,0.25391109,0.25625941,2811079099,11611751579
2657,XRP,XRP,11,12,2020,0.25808101,0.25283861,0.25625788,0.25490322,2443233108,11550299326
2658,XRP,XRP,11,13,2020,0.2656794,0.2540912,0.25490258,0.2651905,2989109717,12020596204
